Title,Description,URL,PublishedAt,Source
"Berkshire shareholders reject diversity, AI proposals","BERKSHIRE-BUFFETT/PROXY (PIX):Berkshire shareholders reject diversity, AI proposals",https://www.livemint.com/companies/news/berkshire-shareholders-reject-diversity-ai-proposals-11746303476491.html,2025-05-03T20:17:56Z,Livemint
"Buffett to step down as Berkshire CEO, Abel to take over","BERKSHIRE-BUFFETT/ (WRAPUP 5, PIX):WRAPUP 5-Buffett to step down as Berkshire CEO, Abel to take over",https://www.livemint.com/companies/news/buffett-to-step-down-as-berkshire-ceo-abel-to-take-over-11746298180032.html,2025-05-03T18:49:39Z,Livemint
American Airlines Sues Chicago Over O’Hare Gates for United,American Airlines Group Inc. sued the city of Chicago in a fight with rival United Airlines Holding Inc. over valuable gate space at O’Hare International Airport.,https://www.livemint.com/companies/news/american-airlines-sues-chicago-over-o-hare-gates-for-united-11746297994190.html,2025-05-03T18:46:33Z,Livemint
"Tata Group, Bharti Airtel terminate merger talks to expand DTH business","Tata Group, Bharti Airtel terminate merger talks to expand DTH business",https://www.livemint.com/companies/news/tata-group-bharti-airtel-terminate-merger-talks-to-expand-dth-business-11746291951761.html,2025-05-03T17:16:05Z,Livemint
Who is Ajit Jain? Indian-origin Berkshire Hathaway VP whom Warren Buffett trusts on AI investments,"Indian-origin Berkshire Hathaway VP, Ajit Jain, is one of the most trusted executives whom Warren Buffett trusts on AI investments. In the shareholder meeting on May 3, Jain called AI to be a game changer for the insurance industry.",https://www.livemint.com/companies/people/who-is-ajit-jain-indian-origin-berkshire-hathaway-vp-whom-warren-buffett-trusts-on-ai-investments-11746282459929.html,2025-05-03T15:44:03Z,Livemint
"India’s film, TV and streaming industry clocked ₹1.1 trillion in FY24, says report","The Indian film, television, and online curated content industry generated Rs. 110,000 crore in FY2024, growing 18% since FY2019. This growth persists despite pandemic challenges, with increased household spending expected to drive demand for entertainment of…",https://www.livemint.com/industry/media/indias-film-tv-and-streaming-industry-clocked-1-1-trillion-in-fy24-says-report-11746195483524.html,2025-05-03T07:30:02Z,Livemint
"Madhusudan Kela Portfolio: बिकवाली के माहौल में पोर्टफोलियो में जोड़े 3 स्टॉक्स, इन शेयरों के वेटेज में बदलाव","Madhusudan Kela Portfolio: मधुसूदन केला के पोर्टफोलियो में पिछली तिमाही जनवरी-मार्च 2025 में बड़े बदलाव हुए। ऐसे समय में जब स्टॉक मार्केट बिकवाली के भारी दबाव से जूझ रहा था, मधुसूदन केला ने इसे खरीदारी के शानदार मौके के तौर पर लिया और धड़ाधड़ कुछ शेयरों की ता…",https://hindi.moneycontrol.com/news/markets/madhusudan-kela-portfolio-added-some-stocks-in-march-quarter-some-stocks-weight-increased-and-decreased-1975058.html,2025-05-03T06:17:46Z,Moneycontrol
Market This week: वीकली आधार पर बाजार लगातार तीसरे हफ्ते बढ़त पर हुआ बंद,"Market This week:   वीकली आधार पर बाजार लगातार तीसरे हफ्ते बढ़त पर बंद हुआ। एफआईआई की लगातार खरीदारी, मिलेजुले Q4 नतीजें, टैरिफ युद्ध तनाव कम होना, रिकॉर्ड जीएसटी कलेक्शन और ग्लोबल मार्केट में सकारात्मक माहौल ने भारतीय बाजार को 1 फीसदी से ज्यादा की साप्ताहिक …",https://hindi.moneycontrol.com/news/markets/market-this-week-on-weekly-basis-the-market-closed-on-a-rise-for-the-third-consecutive-week-1975057.html,2025-05-03T05:36:12Z,Moneycontrol
Mint Explainer: UPI Circle’s vast potential beyond family and friends,This new feature allows you to authorise UPI payments for others such as your children or senior family members via your bank account. But UPI Circle has a bigger agenda that just that.&nbsp;,https://www.livemint.com/industry/banking/upi-circle-delegated-upi-payments-cashless-transactions-financial-inclusion-upi-without-bank-account-upi-for-minors-bhim-11746181776970.html,2025-05-03T04:00:16Z,Livemint
Sahara’s shadow: The spectacular unravelling of Subrata Roy,"He built a financial empire on trust and spectacle, wooed politicians and movie stars, and claimed to uplift millions. Yet, as Subrata Roy died a free man, the mystery of Sahara’s missing billions—and its millions of investors—remains unsolved.",https://www.livemint.com/companies/people/saharas-shadow-the-spectacular-unravelling-of-subrata-roy-11746084390116.html,2025-05-03T02:30:11Z,Livemint
