Date,Headline,Summary,Link,Ticker,RetrievalScore,Sentiment
,Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,MSFT,0.338,negative
,Bomb blast threat to Indore's Holkar Stadium mentions 'Operation Sindoor'; turns out hoax,"MPCA's (Madhya Pradesh Cricket Association) official email (ID) on Friday received a threatening message. The email, written in English, mentions that the stadium will be blasted due to 'Operation Sindoor' (of Indian armed forces),"" Tukoganj police station in-charge Jitendra Singh Yadav told PTI",https://www.moneycontrol.com/news/business/bomb-blast-threat-to-indore-s-holkar-stadium-mentions-operation-sindoor-turns-out-hoax-13019795.html,AAPL,0.312,negative
,Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,GOOG,0.406,negative
,Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,MSFT,0.375,negative
,Border tensions snap market's three-week gaining streak despite net FII buying for the week,"The benchmark indices ended a three-week gaining streak with a one percent fall, with nearly 40 Nifty 50 names ending in the red on a weekly basis.",https://www.moneycontrol.com/news/business/markets/border-tensions-snap-market-s-three-week-gaining-streak-despite-net-fii-buying-for-the-week-13019658.html,AAPL,0.344,negative
,"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,GOOG,0.411,negative
,"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,AAPL,0.389,negative
,"G7 urges India and Pakistan to de-escalate, condemns Pahalgam attack",The G7 foreign ministers cautioned that any intensification of hostilities could pose a serious threat to regional peace,https://www.moneycontrol.com/world/g7-urges-india-and-pakistan-to-de-escalate-condemns-pahalgam-attack-article-13019713.html,MSFT,0.382,negative
,Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,GOOG,0.35,neutral
,Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,MSFT,0.328,neutral
,Can you get a credit loan with low CIBIL score? Check these key details,Worried about getting a loan with a low cibil score? Here's how to get one with the right strategy and lender.,https://www.moneycontrol.com/news/business/personal-finance/can-you-get-a-credit-loan-with-low-cibil-score-check-these-key-details-13017397.html,AAPL,0.323,neutral
